Time Scaled,S0 CASSCF 2R,S1 CASSCF 2R,S0 CASSCF 2R Scaled,S1 CASSCF 2R Scaled,S0 CASSCF 2R Scaled CASPT2,S1 CASSCF 2R Scaled CASPT2,S0 CASSCF Energy,S1 CASSCF Energy,S2 CASSCF Energy,S0 CASPT2 Energy,S1 CASPT2 Energy,S2 CASPT2 Energy,Scaled S0 CASSCF Energy,Scaled S1 CASSCF Energy,Scaled S2 CASSCF Energy,Scaled S0 CASPT2 Energy,Scaled S1 CASPT2 Energy,Scaled S2 CASPT2 Energy,S0 Mulliken Charge,S1 Mulliken Charge,S2 Mulliken Charge,Oscillator Strength S0S1,Oscillator Strength S0S2,Oscillator Strength S1S2,Reactive TORS,Reactive HOOP,HOOP in phase,TAU overlap,full-BLA,beta-BLA,rpsb-BLA
0.0000,-869.115649503,-868.990392535,0.0,78.6,0.0,52.7,-869.116081,-868.988846,-868.964646,-871.856821,-871.771565,-871.734341,0.0,79.8,95.0,0.0,53.5,76.9,0.5972,0.2962,0.5620,1.320640,0.383964,0.054150,-16.218999999999994,-8.961000000000013,-3.6289999999999907,-12.590000000000003,0.099,0.099,0.120
1.2216,-869.115604938,-868.991602648,0.0,77.8,0.0,52.2,-869.115703,-868.991711,-868.969377,-871.857514,-871.774016,-871.738612,0.2,78.0,92.1,-0.4,52.0,74.2,0.5882,0.2922,0.5657,1.371982,0.360497,0.051757,-16.235000000000014,-9.050000000000011,-3.592500000000001,-12.642500000000013,0.090,0.091,0.106
2.4433,-869.115152082,-868.994616578,0.3,75.9,0.2,50.9,-869.114206,-868.995038,-868.975625,-871.857884,-871.776882,-871.744394,1.2,76.0,88.1,-0.7,50.2,70.5,0.5736,0.2841,0.5750,1.468601,0.308152,0.043761,-16.262,-9.198000000000008,-3.5319999999999965,-12.730000000000004,0.076,0.078,0.085
3.6649,-869.11349909,-868.998244899,1.3,73.7,0.9,49.4,-869.110818,-868.997400,-868.981616,-871.857183,-871.779020,-871.750246,3.3,74.5,84.4,-0.2,48.8,66.9,0.5543,0.2696,0.5934,1.626528,0.206583,0.026844,-16.30000000000001,-9.406000000000006,-3.4470000000000027,-12.853000000000009,0.058,0.062,0.059
4.8866,-869.109899931,-869.001117636,3.6,71.9,2.4,48.2,-869.106174,-868.999003,-868.986563,-871.855848,-871.780139,-871.755797,6.2,73.5,81.3,0.6,48.1,63.4,0.5318,0.2499,0.6222,1.837869,0.056037,0.004687,-16.349999999999994,-9.675999999999988,-3.3370000000000033,-13.012999999999991,0.037,0.043,0.030
6.1082,-869.105076404,-869.003396125,6.6,70.4,4.4,47.2,-869.100147,-869.000287,-868.988570,-871.853507,-871.778869,-871.760743,10.0,72.7,80.0,2.1,48.9,60.3,0.5078,0.2587,0.6273,1.903048,0.046340,0.010474,-16.41300000000001,-10.014999999999986,-3.1990000000000123,-13.213999999999999,0.015,0.023,0.002
7.3298,-869.099095066,-869.004902327,10.4,69.5,7.0,46.6,-869.092366,-869.001549,-868.985939,-871.849526,-871.777381,-871.762205,14.9,71.9,81.7,4.6,49.8,59.4,0.4831,0.3113,0.5913,1.697772,0.293428,0.073207,-16.49000000000001,-10.425999999999988,-3.0320000000000107,-13.457999999999998,-0.008,0.002,-0.024
8.5515,-869.091711333,-869.005390788,15.0,69.2,10.1,46.4,-869.083482,-869.002479,-868.979971,-871.844125,-871.777154,-871.758715,20.5,71.3,85.4,8.0,50.0,61.6,0.4593,0.3519,0.5686,1.515354,0.494319,0.166667,-16.581999999999994,-10.913999999999987,-2.834000000000003,-13.74799999999999,-0.030,-0.020,-0.046
9.7731,-869.083276977,-869.005493633,20.3,69.1,13.6,46.3,-869.074133,-869.002595,-868.972005,-871.837644,-871.776590,-871.752104,26.3,71.2,90.4,12.0,50.3,65.7,0.4385,0.3711,0.5633,1.414778,0.580876,0.276514,-16.687999999999988,-11.480999999999995,-2.603499999999997,-14.084499999999991,-0.052,-0.043,-0.061
10.9947,-869.07427914,-869.005150512,26.0,69.3,17.4,46.5,-869.065124,-869.001899,-868.963394,-871.830634,-871.775181,-871.744107,32.0,71.7,95.8,16.4,51.2,70.7,0.4245,0.3767,0.5640,1.352640,0.592380,0.394340,-16.804000000000002,-12.117999999999995,-2.3430000000000035,-14.460999999999999,-0.071,-0.065,-0.069
