"Time Scaled","S0 CASSCF 2R","S1 CASSCF 2R","S0 CASSCF 2R Scaled","S1 CASSCF 2R Scaled","S0 CASSCF 2R Scaled CASPT2","S1 CASSCF 2R Scaled CASPT2","S0 CASSCF Energy","S1 CASSCF Energy","S2 CASSCF Energy","S0 CASPT2 Energy","S1 CASPT2 Energy","S2 CASPT2 Energy","Scaled S0 CASSCF Energy","Scaled S1 CASSCF Energy","Scaled S2 CASSCF Energy","Scaled S0 CASPT2 Energy","Scaled S1 CASPT2 Energy",,"Scaled S2 CASPT2 Energy","S0 Mulliken Charge","S1 Mulliken Charge","S2 Mulliken Charge","Oscillator Strength S0S1","Oscillator Strength S0S2","Oscillator Strength S1S2","Reactive TORS","Reactive HOOP","HOOP in phase","TAU overlap","full-BLA","beta-BLA","rpsb-BLA"
0,-869.101268831,-868.995257092,0,66.5,0,47,-869.09788,-868.994979,-868.963896,-871.848855,-871.773206,-871.739573,1.9,66.4,85.9,-0.6,46.9,47.5,68,0.5234,0.2599,0.4805,1.511427,0.291883,0.022797,-17.269,-9.86099999999999,-3.70400000000001,-13.565,0.084,0.087,0.095
1.1894,-869.101231654,-868.996120871,0,66,0,46.6,-869.097737,-868.997109,-868.967563,-871.849524,-871.774905,-871.742942,1.9,65.1,83.6,-1,45.8,46.8,65.9,0.5123,0.2605,0.4828,1.562005,0.269628,0.022575,-17.265,-9.922,-3.67149999999999,-13.5935,0.076,0.08,0.084
2.3788,-869.100906534,-868.998369558,0.2,64.6,0.2,45.6,-869.096837,-868.999602,-868.972476,-871.850093,-871.776925,-871.747638,2.5,63.5,80.5,-1.4,44.5,45.9,62.9,0.4943,0.2613,0.4861,1.64751,0.229329,0.020757,-17.262,-10.021,-3.62050000000001,-13.6415,0.063,0.068,0.068
3.5682,-869.09977713,-869.001116771,0.9,62.8,0.7,44.4,-869.094963,-869.001536,-868.977512,-871.850159,-871.778593,-871.752699,3.7,62.3,77.4,-1.4,43.5,44.9,59.7,0.471,0.2633,0.492,1.768142,0.165632,0.015838,-17.264,-10.156,-3.554,-13.71,0.048,0.053,0.047
4.7577,-869.097539421,-869.003506981,2.3,61.3,1.7,43.4,-869.092009,-869.002445,-868.981678,-871.849539,-871.779513,-871.757275,5.5,61.7,74.8,-1,42.9,43.9,56.9,0.4443,0.2661,0.5008,1.910943,0.083311,0.007961,-17.277,-10.323,-3.47699999999999,-13.8,0.03,0.036,0.025
5.9471,-869.094181602,-869.005096861,4.4,60.3,3.1,42.7,-869.088077,-869.002324,-868.984167,-871.84808,-871.779436,-871.760435,8,61.8,73.2,-0.1,43,43.1,54.9,0.4172,0.2719,0.5107,2.029668,0.018097,0.000868,-17.308,-10.519,-3.39449999999999,-13.9135,0.011,0.018,0.004
7.1365,-869.089883931,-869.005830095,7.1,59.9,5,42.3,-869.083216,-869.001621,-868.984177,-871.845621,-871.778521,-871.76124,11.1,62.3,73.2,1.4,43.5,42.1,54.4,0.393,0.2859,0.5151,2.021022,0.0627,0.005869,-17.363,-10.739,-3.312,-14.051,-0.007,-0.001,-0.015
8.3259,-869.084823167,-869.005929805,10.3,59.8,7.3,42.3,-869.077712,-869.00122,-868.981358,-871.842241,-871.777556,-871.759332,14.5,62.5,75,3.5,44.1,40.6,55.6,0.3716,0.3097,0.5106,1.8535,0.245027,0.035092,-17.447,-10.981,-3.233,-14.214,-0.026,-0.021,-0.031
9.5153,-869.079401459,-869.005785547,13.7,59.9,9.7,42.4,-869.071931,-869.001188,-868.976375,-871.838121,-871.777021,-871.755099,18.1,62.5,78.1,6.1,44.5,38.4,58.2,0.3553,0.3319,0.507,1.655347,0.432329,0.087156,-17.564,-11.241,-3.16149999999999,-14.4025,-0.044,-0.04,-0.04
10.7047,-869.073894527,-869.005663781,17.2,60,12.1,42.4,-869.066299,-869.001413,-868.970299,-871.833663,-871.776582,-871.749532,21.7,62.4,81.9,8.9,44.8,35.9,61.7,0.3413,0.3451,0.5074,1.515578,0.540447,0.152925,-17.716,-11.513,-3.1015,-14.6145,-0.06,-0.06,-0.044
11.8941,-869.068652247,-869.005648099,20.5,60,14.5,42.4,-869.060955,-869.00129,-868.964109,-871.829014,-871.775857,-871.74344,25,62.5,85.8,11.8,45.2,33.4,65.5,0.3375,0.3489,0.5123,1.412268,0.583012,0.231419,-17.903,-11.79,-3.0565,-14.8465,-0.073,-0.078,-0.04
13.0835,-869.063708021,-869.005466459,23.6,60.1,16.7,42.5,-869.056074,-869.000558,-868.958394,-871.824383,-871.774722,-871.737466,28.1,62.9,89.4,14.8,45.9,31.1,69.3,0.3451,0.344,0.5192,1.330721,0.580769,0.313501,-18.123,-12.065,-3.029,-15.094,-0.084,-0.094,-0.03
14.273,-869.059096305,-869.004942361,26.5,60.4,18.7,42.7,-869.052252,-868.99959,-868.953968,-871.820387,-871.773532,-871.732447,30.5,63.5,92.2,17.3,46.7,29.4,72.4,0.3611,0.3319,0.5259,1.266536,0.553556,0.381511,-18.371,-12.332,-3.01950000000001,-15.3515,-0.09,-0.106,-0.013
