"Time Scaled","S0 CASSCF 2R","S1 CASSCF 2R","S0 CASSCF 2R Scaled","S1 CASSCF 2R Scaled","S0 CASSCF 2R Scaled CASPT2","S1 CASSCF 2R Scaled CASPT2","S0 CASSCF Energy","S1 CASSCF Energy","S2 CASSCF Energy","S0 CASPT2 Energy","S1 CASPT2 Energy","S2 CASPT2 Energy","Scaled S0 CASSCF Energy","Scaled S1 CASSCF Energy","Scaled S2 CASSCF Energy","Scaled S0 CASPT2 Energy","Scaled S1 CASPT2 Energy","Scaled S2 CASPT2 Energy","S0 Mulliken Charge","S1 Mulliken Charge","S2 Mulliken Charge","Oscillator Strength S0S1","Oscillator Strength S0S2","Oscillator Strength S1S2","Reactive TORS","Reactive HOOP","HOOP in phase","TAU overlap","full-BLA","beta-BLA","rpsb-BLA"
0,-869.062857436,-868.944881818,0,74,0,51.7,-869.062573,-868.943935,-868.917298,-871.806209,-871.723296,-871.688732,0,74.4,91.2,0,52,52,0.5677,0.2894,0.5276,1.397369,0.354643,0.037126,-15.52,-6.56700000000001,-4.4765,-11.0435,0.091,0.092,0.107
1.1962,-869.062823276,-868.945833215,0,73.4,0,51.3,-869.062192,-868.946261,-868.921219,-871.806759,-871.725184,-871.692364,0.2,73,88.7,-0.3,50.8,51.1,0.5588,0.288,0.5286,1.440498,0.337374,0.03689,-15.521,-6.608,-4.45649999999999,-11.0645,0.083,0.085,0.095
2.3924,-869.062397879,-868.948194309,0.3,72,0.2,50.3,-869.060982,-868.948887,-868.926531,-871.80711,-871.727438,-871.697384,1,71.3,85.4,-0.6,49.4,50,0.5444,0.2854,0.5321,1.5143,0.303233,0.034739,-15.525,-6.67599999999999,-4.42450000000001,-11.1005,0.07,0.073,0.078
3.5886,-869.061080371,-868.950977054,1.1,70.2,0.8,49.1,-869.058555,-868.950921,-868.931999,-871.806884,-871.72929,-871.702822,2.5,70.1,81.9,-0.4,48.3,48.7,0.5256,0.2807,0.5396,1.628292,0.239228,0.027716,-15.533,-6.77000000000001,-4.38149999999999,-11.1515,0.055,0.058,0.057
4.7848,-869.058519653,-868.953277075,2.7,68.8,1.9,48.1,-869.054928,-868.951939,-868.936606,-871.805954,-871.730284,-871.707896,4.8,69.4,79,0.2,47.6,47.4,0.5031,0.2725,0.5529,1.789301,0.13295,0.014588,-15.55,-6.88999999999999,-4.33000000000001,-11.22,0.037,0.042,0.033
5.981,-869.054715947,-868.954722073,5.1,67.9,3.6,47.4,-869.050282,-868.952013,-868.939412,-871.804205,-871.729964,-871.71195,7.7,69.4,77.3,1.3,47.8,46.5,0.4803,0.2653,0.5693,1.951426,0.021219,0.001466,-15.578,-7.04300000000001,-4.2675,-11.3105,0.019,0.024,0.011
7.1772,-869.04989221,-868.955328745,8.1,67.5,5.7,47.2,-869.044652,-868.951904,-868.939325,-871.801428,-871.728067,-871.714172,11.2,69.4,77.3,3,49,46,0.4575,0.2808,0.5665,1.935084,0.078016,0.009329,-15.623,-7.23099999999999,-4.196,-11.427,0,0.006,-0.01
8.3734,-869.044262765,-868.955370169,11.7,67.4,8.2,47.1,-869.03838,-868.95233,-868.93614,-871.79769,-871.726667,-871.713247,15.2,69.2,79.3,5.3,49.9,44.6,0.4349,0.318,0.5437,1.729693,0.309727,0.049384,-15.686,-7.459,-4.1135,-11.5725,-0.018,-0.012,-0.028
9.5696,-869.038197819,-868.955355491,15.5,67.5,10.8,47.1,-869.031832,-868.953009,-868.930872,-871.793202,-871.726283,-871.70934,19.3,68.8,82.6,8.2,50.2,42,0.4145,0.3463,0.5303,1.546815,0.496745,0.108571,-15.771,-7.72900000000001,-4.02099999999999,-11.75,-0.036,-0.031,-0.04
10.7658,-869.0319089,-868.955575836,19.4,67.3,13.6,47,-869.025264,-868.953523,-868.924465,-871.788165,-871.72589,-871.703642,23.4,68.4,86.7,11.3,50.4,39.1,0.3988,0.3615,0.5284,1.430389,0.590634,0.17962,-15.879,-8.041,-3.919,-11.96,-0.053,-0.05,-0.047
11.962,-869.025570229,-868.955824171,23.4,67.2,16.4,46.9,-869.01896,-868.953598,-868.91776,-871.782895,-871.725041,-871.697173,27.4,68.4,90.9,14.6,50.9,36.3,0.3897,0.3668,0.5325,1.354252,0.61652,0.256712,-16.009,-8.38800000000001,-3.81049999999999,-12.1985,-0.067,-0.068,-0.046
13.1582,-869.019448149,-868.955789583,27.2,67.2,19,47,-869.013152,-868.952986,-868.911447,-871.777704,-871.72365,-871.690686,31,68.8,94.8,17.9,51.8,33.9,0.3901,0.3641,0.5395,1.295254,0.601402,0.330265,-16.16,-8.76599999999999,-3.697,-12.463,-0.079,-0.084,-0.039
14.3544,-869.013734422,-868.955223,30.8,67.5,21.5,47.2,-869.00847,-868.951983,-868.906428,-871.773259,-871.722159,-871.685132,34,69.4,98,20.7,52.7,32,0.4002,0.3546,0.5486,1.242451,0.565856,0.387146,-16.33,-9.16399999999999,-3.58300000000001,-12.747,-0.087,-0.096,-0.025
15.5506,-869.008991222,-868.95442137,33.8,68,23.6,47.6,-869.005461,-868.950875,-868.903374,-871.770114,-871.720992,-871.681269,35.8,70.1,99.9,22.7,53.5,30.8,0.4191,0.3401,0.5582,1.190527,0.527999,0.421771,-16.514,-9.57499999999999,-3.46950000000001,-13.0445,-0.09,-0.105,-0.006
16.7468,-869.005746953,-868.953674405,35.8,68.5,25,47.9,-869.004562,-868.950058,-868.902661,-871.768657,-871.720446,-871.679653,36.4,70.6,100.3,23.6,53.8,30.2,0.4422,0.3255,0.5663,1.141085,0.503307,0.43782,-16.71,-9.989,-3.3605,-13.3495,-0.089,-0.109,0.016
17.943,-869.004485427,-868.953283901,36.6,68.8,25.6,48.1,-869.00572,-868.949636,-868.904124,-871.768888,-871.720406,-871.680356,35.7,70.9,99.4,23.4,53.8,30.4,0.4631,0.3166,0.5695,1.099385,0.502422,0.440976,-16.915,-10.399,-3.258,-13.657,-0.084,-0.107,0.038
