"Time Scaled","S0 CASSCF 2R","S1 CASSCF 2R","S0 CASSCF 2R Scaled","S1 CASSCF 2R Scaled","S0 CASSCF 2R Scaled CASPT2","S1 CASSCF 2R Scaled CASPT2","S0 CASSCF Energy","S1 CASSCF Energy","S2 CASSCF Energy","S0 CASPT2 Energy","S1 CASPT2 Energy","S2 CASPT2 Energy","Scaled S0 CASSCF Energy","Scaled S1 CASSCF Energy","Scaled S2 CASSCF Energy","Scaled S0 CASPT2 Energy","Scaled S1 CASPT2 Energy","Scaled S2 CASPT2 Energy",,"S0 Mulliken Charge","S1 Mulliken Charge","S2 Mulliken Charge","Oscillator Strength S0S1","Oscillator Strength S0S2","Oscillator Strength S1S2","Reactive TORS","Reactive HOOP","HOOP in phase","TAU overlap","full-BLA","beta-BLA","rpsb-BLA"
0,-869.174745087,-869.059969384,0,72,0,50.9,-869.174411,-869.059013,-869.029902,-871.918923,-871.837359,-871.801957,0,72.4,90.7,0,51.2,73.4,51.2,0.5452,0.2727,0.5213,1.493346,0.290145,0.024033,-15.783,-8.684,-3.54949999999999,-12.2335,0.089,0.093,0.101
1.1895,-869.17471498,-869.060876538,0,71.5,0,50.5,-869.174097,-869.061239,-869.033735,-871.919529,-871.839205,-871.805519,0.2,71,88.3,-0.4,50,71.2,50.4,0.5356,0.2717,0.5228,1.538838,0.269889,0.023764,-15.788,-8.738,-3.52500000000001,-12.263,0.082,0.085,0.09
2.3789,-869.17436022,-869.063177538,0.2,70,0.2,49.5,-869.173186,-869.064047,-869.03912,-871.920207,-871.841609,-871.810676,0.8,69.3,84.9,-0.8,48.5,67.9,49.3,0.5199,0.2698,0.5256,1.617153,0.231402,0.021731,-15.798,-8.827,-3.4855,-12.3125,0.069,0.074,0.074
3.5684,-869.173407471,-869.066123646,0.8,68.2,0.6,48.2,-869.170853,-869.06605,-869.044227,-871.919999,-871.843329,-871.81597,2.2,68,81.7,-0.7,47.4,64.6,48.1,0.4993,0.267,0.5316,1.731799,0.166561,0.01606,-15.814,-8.952,-3.431,-12.383,0.054,0.059,0.053
4.7578,-869.17094104,-869.068371293,2.4,66.8,1.7,47.2,-869.167387,-869.067242,-869.048528,-871.919161,-871.844257,-871.820954,4.4,67.2,79,-0.1,46.9,61.5,47,0.4752,0.2646,0.5397,1.874558,0.078979,0.006978,-15.84,-9.118,-3.361,-12.479,0.036,0.042,0.031
5.9473,-869.16738606,-869.069872638,4.6,65.8,3.3,46.5,-869.163045,-869.067655,-869.051189,-871.917613,-871.8442,-871.824919,7.1,67,77.3,0.8,46.9,59,46.1,0.4509,0.2662,0.5482,1.989264,0.01364,0.000512,-15.878,-9.32499999999999,-3.2765,-12.6015,0.018,0.024,0.009
7.1368,-869.162944142,-869.070689822,7.4,65.3,5.2,46.2,-869.157629,-869.06771,-869.050865,-871.914932,-871.842896,-871.826551,10.5,67,77.5,2.5,47.7,58,45.2,0.4248,0.2843,0.5428,1.973454,0.072286,0.010404,-15.93,-9.57599999999999,-3.17700000000001,-12.753,-0.001,0.006,-0.01
8.3262,-869.157570293,-869.070763525,10.8,65.2,7.6,46.1,-869.151605,-869.067917,-869.047826,-871.911345,-871.841799,-871.825289,14.3,66.8,79.4,4.8,48.4,58.8,43.6,0.4006,0.3126,0.5288,1.823067,0.248858,0.043996,-15.998,-9.87100000000001,-3.06349999999999,-12.9345,-0.019,-0.013,-0.026
9.5157,-869.151743517,-869.070666895,14.4,65.3,10.2,46.2,-869.145211,-869.068154,-869.042629,-871.906908,-871.841071,-871.821335,18.3,66.7,82.7,7.5,48.9,61.2,41.4,0.3783,0.3378,0.519,1.663658,0.414897,0.094615,-16.085,-10.21,-2.9375,-13.1475,-0.037,-0.032,-0.037
10.7051,-869.145617874,-869.070505815,18.3,65.4,12.9,46.2,-869.139084,-869.068498,-869.036594,-871.902204,-871.840514,-871.816021,22.2,66.5,86.5,10.5,49.2,64.6,38.7,0.3605,0.3546,0.5167,1.543146,0.518472,0.157226,-16.191,-10.588,-2.8015,-13.3895,-0.053,-0.05,-0.042
